transect_id,genus,slope,r2
20251214_222552.JPG_T65,Aspergillus,-2.9488496590419637,0.7384039866195616
20251214_222552.JPG_T66,Aspergillus,-2.906970710731175,0.7374361896322768
20251214_222552.JPG_T67,Aspergillus,-2.731733588914628,0.6806555783056231
20251214_222552.JPG_T68,Aspergillus,-2.8863492825420805,0.727825390727307
20251214_222552.JPG_T69,Aspergillus,-2.928888090560369,0.7207579838254025
20251214_222552.JPG_T70,Aspergillus,-2.90372313424583,0.7145519165006842
20251210_155950.JPG_T1,Mucor,-3.7004870944134782,0.8384275435178492
20251210_155950.JPG_T2,Mucor,-3.8095928657873346,0.8442463456535311
20251210_155950.JPG_T3,Mucor,-3.7360102686188403,0.8572927869687718
20251210_155950.JPG_T4,Mucor,-3.7216143823449586,0.831039071986317
20251210_155519.JPG_T5,Mucor,-4.299258412099914,0.8101545710406647
20251210_155519.JPG_T6,Mucor,-4.036717634754877,0.7686048606450679
20251210_155519.JPG_T7,Mucor,-3.6274003144368723,0.7685467042587987
20251210_155519.JPG_T8,Mucor,-3.6737845793525823,0.7916042217272738
20251210_155519.JPG_T9,Mucor,-4.247333061790779,0.8145511665212497
20251210_155519.JPG_T10,Mucor,-4.775120400026027,0.5530402535489624
20251210_155519.JPG_T11,Mucor,-4.5648770590768,0.5017403657713652
20251210_155519.JPG_T12,Mucor,-3.533728116993254,0.7762902680863767
20251210_155519.JPG_T13,Mucor,-3.868225375541343,0.8579826136907339
20251210_155519.JPG_T14,Mucor,-4.187960113427086,0.7968307820517243
20251210_155530.JPG_T15,Mucor,-4.070451767280428,0.7852562513147132
20251210_155530.JPG_T16,Mucor,-3.4209719509520062,0.8049371352957099
20251210_155530.JPG_T17,Mucor,-3.1840789353210526,0.7904727181779821
20251210_155530.JPG_T18,Mucor,-3.2031424569678983,0.7612393756652488
20251210_155530.JPG_T19,Mucor,-3.6866936782088944,0.8503576532969912
20251210_155530.JPG_T20,Mucor,-3.871065466768446,0.7748951593930041
20251210_155530.JPG_T21,Mucor,-3.9221060902304923,0.7674115647268743
20251210_155530.JPG_T22,Mucor,-4.379490302973541,0.8005424034692828
20251210_155530.JPG_T23,Mucor,-4.397573037241534,0.6485833813791496
20251210_155530.JPG_T24,Mucor,-3.811137688548872,0.6896603676462963
20251210_155530.JPG_T25,Mucor,-4.607632571621954,0.604903496064016
20251210_155530.JPG_T26,Mucor,-4.689671247966792,0.5849418328897371
20251210_155530.JPG_T27,Mucor,-4.3851285089831675,0.5865260005971225
20251210_155614.JPG_T28,Mucor,-3.884488801347513,0.7403088668402059
20251210_155614.JPG_T29,Mucor,-3.0084480984844673,0.7630490745731126
20251210_155614.JPG_T30,Mucor,-3.3354518265321205,0.808938021932296
20251210_155614.JPG_T31,Mucor,-3.4487755863423737,0.8038880777617969
20251210_155614.JPG_T32,Mucor,-4.195739950944037,0.7028437599049565
20251210_155614.JPG_T33,Mucor,-3.1768550266110984,0.8023019953906414
20251210_155713.JPG_T34,Mucor,-3.753235137674717,0.7882774728485902
20251210_155713.JPG_T35,Mucor,-3.967724517382388,0.8513154535639096
20251210_155748.JPG_T36,Mucor,-4.008397844320022,0.8279855697833377
20251210_155748.JPG_T37,Mucor,-4.004375240536809,0.7542568793873557
20251210_155748.JPG_T38,Mucor,-4.176920780990385,0.7612696434536366
20251210_155819.JPG_T39,Mucor,-3.5763468411899377,0.7671384618394258
20251210_155819.JPG_T40,Mucor,-4.2110563268288885,0.624871188521558
