image,x0,y0,x1,y1,line_length_px,band_width_px,cal_um_per_px,freq_cutoff,peak_threshold,peak1_freq,peak1_wavelength,peak1_power,peak2_freq,peak2_wavelength,peak2_power,peak3_freq,peak3_wavelength,peak3_power,mean_intensity,std_intensity,unit
20251214_221853.JPG,5922.8,3890.0,7618.9,4046.6,1703.3,5,1.0,0.05,0.005,0.050499,19.8,1290.5532,0.052261,19.13,2149.2864,0.05461,18.31,6723.1273,,,px
20251214_221920.JPG,2092.2,4375.3,6930.0,4297.1,4838.4,5,1.0,0.05,0.005,0.050227,19.91,12926.6435,0.051054,19.59,6288.3682,0.052088,19.2,6019.7358,,,px
20251214_221920.JPG,2457.5,4093.5,6293.3,3968.3,3837.8,5,1.0,0.05,0.005,0.050026,19.99,5225.9275,0.051329,19.48,6459.8401,0.05211,19.19,8402.8315,,,px
20251214_221920.JPG,2441.9,3670.8,6392.5,3613.4,3951.0,5,1.0,0.05,0.005,0.050114,19.95,8492.4028,0.051379,19.46,26777.5402,0.052392,19.09,6871.7817,,,px
20251214_221920.JPG,2859.4,3357.7,6288.1,3326.4,3428.9,5,1.0,0.05,0.005,0.050452,19.82,3284.5405,0.051035,19.59,7481.038,0.052785,18.94,7491.2113,,,px
20251214_221942.JPG,4618.1,4057.0,7086.5,4067.4,2468.5,5,1.0,0.05,0.005,0.051864,19.28,3302.2869,0.05389,18.56,2938.7113,0.055105,18.15,8849.8074,,,px
20251214_221942.JPG,7514.5,3665.6,4644.2,3576.9,2871.7,5,1.0,0.05,0.005,0.050487,19.81,19034.2195,0.05188,19.28,11825.8457,0.053621,18.65,11706.8363,,,px
20251214_221942.JPG,3490.8,2893.2,1173.7,2976.7,2318.6,5,1.0,0.05,0.005,0.050022,19.99,5122.2154,0.052178,19.17,20722.9918,0.053903,18.55,2863.868,,,px
20251214_221942.JPG,2468.0,2966.3,4033.6,3472.5,1645.4,5,1.0,0.05,0.005,0.050456,19.82,3049.9572,0.052888,18.91,11648.5573,0.055927,17.88,6389.1496,,,px
20251214_221942.JPG,1627.7,3143.7,41.2,4323.2,1976.9,5,1.0,0.05,0.005,0.050076,19.97,14223.2672,0.054122,18.48,3427.2361,0.056146,17.81,1658.9305,,,px
20251214_221942.JPG,933.7,4391.0,1763.4,3566.4,1169.8,5,1.0,0.05,0.005,0.053846,18.57,973.0485,0.059829,16.71,2901.1962,0.061538,16.25,2057.8484,,,px
20251214_222017.JPG,8125.1,3905.7,651.8,4077.9,7475.2,5,1.0,0.05,0.005,0.050569,19.78,8154.5213,0.051104,19.57,8046.8237,0.051773,19.32,14209.394,,,px
20251214_222017.JPG,8125.1,3629.1,1419.0,3649.9,6706.1,5,1.0,0.05,0.005,0.050104,19.96,30011.829,0.050552,19.78,10204.1296,0.050999,19.61,13760.0765,,,px
20251214_222017.JPG,1679.9,3409.9,7989.4,3305.5,6310.3,5,1.0,0.05,0.005,0.050238,19.91,9732.9633,0.050713,19.72,9067.8787,0.051189,19.54,10529.3519,,,px
20251214_222017.JPG,2134.0,3148.9,3950.1,3195.9,1816.7,5,1.0,0.05,0.005,0.050633,19.75,4475.9448,0.051734,19.33,9066.4288,0.053385,18.73,2973.424,,,px
20251214_222031.JPG,2013.9,3717.8,7222.2,3644.7,5208.8,5,1.0,0.05,0.005,0.050873,19.66,12369.3836,0.052217,19.15,6363.9327,0.053945,18.54,14389.0675,,,px
20251214_222031.JPG,5244.3,3305.5,7196.1,3315.9,1951.8,5,1.0,0.05,0.005,0.050205,19.92,3203.9356,0.052254,19.14,1798.8541,0.056352,17.75,1003.6307,,,px
20251214_222031.JPG,4440.6,3493.4,7154.4,3493.4,2713.7,5,1.0,0.05,0.005,0.050847,19.67,3202.3171,0.052321,19.11,14787.0411,0.054532,18.34,6363.5588,,,px
20251214_222031.JPG,6502.0,3879.6,2577.6,3957.8,3925.3,5,1.0,0.05,0.005,0.050191,19.92,7973.7547,0.05172,19.33,5819.6077,0.054777,18.26,5644.2376,,,px
20251214_222052.JPG,2321.8,4067.4,7488.4,4135.3,5167.0,5,1.0,0.05,0.005,0.050126,19.95,8201.3109,0.050706,19.72,8678.7488,0.051093,19.57,11793.402,,,px
20251214_222052.JPG,3349.9,3827.4,6961.3,3822.2,3611.4,5,1.0,0.05,0.005,0.050955,19.62,2592.0824,0.053171,18.81,7933.4282,0.055109,18.15,8784.5649,,,px
20251214_222052.JPG,4586.8,3566.4,6977.0,3608.2,2390.5,5,1.0,0.05,0.005,0.050188,19.92,3800.5764,0.053116,18.83,7897.4868,0.053952,18.53,4569.967,,,px
20251214_222052.JPG,4602.4,3253.3,6794.3,3357.7,2194.4,5,1.0,0.05,0.005,0.050137,19.95,1925.9845,0.052416,19.08,6177.2496,0.053783,18.59,6087.431,,,px
20251214_222121.JPG,855.4,3190.7,2880.2,3258.5,2026.0,5,1.0,0.05,0.005,0.050346,19.86,2436.7266,0.052813,18.93,7525.718,0.054294,18.42,1022.5516,,,px
20251214_222121.JPG,1439.9,2721.0,2728.9,2694.9,1289.3,5,1.0,0.05,0.005,0.051978,19.24,4073.4426,0.05353,18.68,4378.8432,0.057409,17.42,1014.8038,,,px
20251214_222121.JPG,1638.2,2287.8,2901.1,2387.0,1266.8,5,1.0,0.05,0.005,0.052092,19.2,2646.8995,0.05367,18.63,2804.7066,0.057616,17.36,2176.9701,,,px
20251214_222121.JPG,3621.3,2120.8,5588.8,2209.6,1969.5,5,1.0,0.05,0.005,0.050279,19.89,2090.4212,0.052311,19.12,1913.3429,0.053834,18.58,3580.495,,,px
20251214_222121.JPG,3830.1,1797.3,7269.2,1979.9,3444.0,5,1.0,0.05,0.005,0.050232,19.91,6031.4108,0.053136,18.82,8708.1432,0.054588,18.32,3762.9727,,,px
20251214_222121.JPG,6648.2,2334.8,8057.2,2580.1,1430.2,5,1.0,0.05,0.005,0.052448,19.07,1751.5944,0.053846,18.57,2883.2499,0.055944,17.88,946.2335,,,px
20251214_222146.JPG,3224.7,2851.5,8052.0,2689.7,4830.0,5,1.0,0.05,0.005,0.050104,19.96,19839.0008,0.050518,19.8,19763.19,0.052381,19.09,18643.2265,,,px
20251214_222146.JPG,8130.3,3018.5,4059.7,3044.6,4070.7,5,1.0,0.05,0.005,0.050111,19.96,3278.3453,0.051339,19.48,16983.3636,0.052076,19.2,7778.6921,,,px
20251214_222146.JPG,203.0,3576.9,2812.4,2940.2,2685.9,5,1.0,0.05,0.005,0.051005,19.61,1624.9849,0.052867,18.92,1494.2116,0.053984,18.52,6402.4151,,,px
20251214_222146.JPG,176.9,3206.3,2504.5,2574.9,2411.7,5,1.0,0.05,0.005,0.05058,19.77,9124.0139,0.052239,19.14,2372.7065,0.053897,18.55,3467.0579,,,px
20251214_222146.JPG,427.4,2564.4,2097.4,2423.5,1675.9,5,1.0,0.05,0.005,0.050716,19.72,2239.558,0.053103,18.83,5162.3291,0.054893,18.22,2080.499,,,px
20251214_222146.JPG,396.1,2068.7,1951.3,1974.7,1558.0,5,1.0,0.05,0.005,0.050706,19.72,4148.6563,0.052632,19.0,1554.6374,0.055841,17.91,3064.1103,,,px
20251214_222146.JPG,458.7,1635.5,1846.9,884.0,1578.5,5,1.0,0.05,0.005,0.050032,19.99,987.8425,0.055098,18.15,1630.97,0.056365,17.74,2335.6128,,,px
20251214_222205.JPG,8010.3,2736.7,5646.2,2788.8,2364.7,5,1.0,0.05,0.005,0.050317,19.87,8413.4312,0.051163,19.55,3661.0047,0.053277,18.77,9321.725,,,px
20251214_222205.JPG,8088.5,3107.2,5510.5,3086.3,2578.1,5,1.0,0.05,0.005,0.050039,19.98,6670.0316,0.051202,19.53,2106.6875,0.055081,18.15,2459.1844,,,px
20251214_222205.JPG,140.4,3081.1,2848.9,3091.5,2708.5,5,1.0,0.05,0.005,0.050203,19.92,3974.5716,0.053156,18.81,1868.614,0.054264,18.43,4262.149,,,px
20251214_222205.JPG,265.7,3529.9,2144.4,3227.2,1903.0,5,1.0,0.05,0.005,0.052023,19.22,4774.2395,0.057278,17.46,3207.4092,0.060956,16.41,2840.2912,,,px
20251214_222205.JPG,7436.2,2606.2,6194.1,2621.8,1242.2,5,1.0,0.05,0.005,0.050725,19.71,987.4208,0.05314,18.82,2402.8458,0.055556,18.0,850.8841,,,px
20251214_222313.JPG,3021.1,1990.4,4800.7,2167.8,1788.4,5,1.0,0.05,0.005,0.050336,19.87,2620.3627,0.052013,19.23,1406.6171,0.054251,18.43,2068.239,,,px
20251214_222313.JPG,265.7,2976.7,2055.7,1797.3,2143.7,5,1.0,0.05,0.005,0.05084,19.67,1648.31,0.052239,19.14,3821.4567,0.056437,17.72,1006.5408,,,px
20251214_222313.JPG,620.5,3456.8,2087.0,2423.5,1793.9,5,1.0,0.05,0.005,0.050725,19.71,2166.738,0.054627,18.31,3889.0477,0.055741,17.94,2841.7606,,,px
20251214_222452.JPG,1612.1,2814.9,4623.3,2214.8,3070.4,5,1.0,0.05,0.005,0.05114,19.55,4872.9285,0.053094,18.83,7568.721,0.053746,18.61,4884.3305,,,px
20251214_222452.JPG,1810.4,3415.1,4498.1,2705.3,2779.8,5,1.0,0.05,0.005,0.05,20.0,14470.1651,0.051799,19.31,6020.1013,0.053957,18.53,5498.6182,,,px
20251214_222452.JPG,1789.5,3681.2,5479.2,3409.9,3699.6,5,1.0,0.05,0.005,0.05,20.0,3549.9407,0.052162,19.17,4284.2518,0.052973,18.88,7870.3828,,,px
20251214_222452.JPG,8036.4,3963.1,5390.5,3926.5,2646.2,5,1.0,0.05,0.005,0.050265,19.89,2681.6173,0.051398,19.46,2165.4488,0.052532,19.04,2237.1163,,,px
20251214_222530.JPG,2875.0,2538.3,4169.3,2444.4,1297.7,5,1.0,0.05,0.005,0.052388,19.09,1163.9953,0.0547,18.28,873.7051,0.060863,16.43,1385.6248,,,px
20251214_222530.JPG,2655.8,2872.3,4717.2,2888.0,2061.5,5,1.0,0.05,0.005,0.050461,19.82,2411.5651,0.052887,18.91,4407.2753,0.054343,18.4,4993.1421,,,px
20251214_222530.JPG,2316.6,3263.7,5427.0,2961.1,3125.1,5,1.0,0.05,0.005,0.0512,19.53,6475.6085,0.05216,19.17,6277.4717,0.05408,18.49,4526.1614,,,px
20251214_222530.JPG,5614.9,3195.9,6601.2,3315.9,993.6,5,1.0,0.05,0.005,0.050302,19.88,1638.4792,0.05835,17.14,2044.0591,0.06338,15.78,230.8408,,,px
20251214_222530.JPG,6387.2,3545.6,7431.0,4062.2,1164.6,5,1.0,0.05,0.005,0.054077,18.49,2029.2622,0.057511,17.39,2330.9037,0.062661,15.96,253.1068,,,px
20251214_222530.JPG,2374.0,3263.7,505.7,4203.1,2091.2,5,1.0,0.05,0.005,0.051172,19.54,3375.0138,0.052606,19.01,5287.189,0.055476,18.03,5702.9212,,,px
20251214_222552.JPG,1257.2,3665.6,4691.1,3321.2,3451.2,5,1.0,0.05,0.005,0.052159,19.17,5173.0225,0.053028,18.86,3223.8764,0.054187,18.45,8525.4847,,,px
20251214_222552.JPG,2201.8,3154.2,4717.2,2736.7,2549.8,5,1.0,0.05,0.005,0.05098,19.62,5313.0255,0.051765,19.32,4996.3754,0.052549,19.03,3241.8441,,,px
20251214_222552.JPG,2864.6,2564.4,4612.9,2381.8,1757.8,5,1.0,0.05,0.005,0.050057,19.98,761.3925,0.051195,19.53,1958.3932,0.052332,19.11,2115.2521,,,px
20251214_222552.JPG,6110.6,3561.2,8036.4,3289.8,1944.7,5,1.0,0.05,0.005,0.050386,19.85,4438.6756,0.051414,19.45,7185.6094,0.052956,18.88,6214.8433,,,px
20251214_222552.JPG,2154.8,3044.6,4143.2,2668.8,2023.5,5,1.0,0.05,0.005,0.051877,19.28,1960.4624,0.052866,18.92,2185.8751,0.053854,18.57,5631.2684,,,px
20251214_222552.JPG,1653.8,3451.6,4764.2,3002.8,3142.6,5,1.0,0.05,0.005,0.05027,19.89,2721.9638,0.051543,19.4,2485.2315,0.053134,18.82,2441.1725,,,px
